Jahr;Spiegel_Treffer;Stern_Treffer
2001;883;101
2002;464;192
2003;310;233
2004;256;330
2005;135;141
2006;194;254
2007;104;149
2008;124;166
2009;80;78
2010;0;157
2011;0;1067
2012;0;150
2013;0;90
2014;0;88
2015;0;90
2016;0;50
2017;0;58
2018;0;62
2019;0;43
2020;0;15
2021;0;23
2022;0;24
2023;0;14
2024;0;8
